Time_ns,In_L,In_R,Out_L,Out_R,Valid_Out
435,0,0,0,0,0
445,3759,1883,0,0,1
455,7460,3759,0,0,1
465,11043,5621,0,0,1
475,14452,7460,0,0,1
485,17633,9270,0,0,1
495,20536,11043,0,0,1
505,23115,12773,0,0,1
515,25329,14452,0,0,1
525,27144,16074,0,0,1
535,28531,17633,0,0,1
545,29468,19122,0,0,1
555,29940,20536,0,0,1
565,29940,21869,0,0,1
575,29468,23115,0,0,1
585,28531,24270,0,0,1
595,27144,25329,0,0,1
605,25329,26289,0,0,1
615,23115,27144,0,0,1
625,20536,27893,0,0,1
635,17633,28531,0,0,1
645,14452,29057,0,0,1
655,11043,29468,0,0,1
665,7460,29763,0,0,1
675,3759,29940,0,0,1
685,0,30000,0,0,1
695,-3759,29940,0,0,1
705,-7460,29763,0,0,1
715,-11043,29468,0,0,1
725,-14452,29057,0,0,1
735,-17633,28531,0,0,1
745,-20536,27893,0,0,1
755,-23115,27144,0,0,1
765,-25329,26289,0,0,1
775,-27144,25329,0,0,1
785,-28531,24270,0,0,1
795,-29468,23115,0,0,1
805,-29940,21869,0,0,1
815,-29940,20536,0,0,1
825,-29468,19122,0,0,1
835,-28531,17633,0,0,1
845,-27144,16074,0,0,1
855,-25329,14452,0,0,1
865,-23115,12773,0,0,1
875,-20536,11043,0,0,1
885,-17633,9270,0,0,1
895,-14452,7460,0,0,1
905,-11043,5621,0,0,1
915,-7460,3759,0,0,1
925,-3759,1883,0,0,1
935,0,0,0,0,1
945,3759,-1883,0,0,1
955,7460,-3759,0,0,1
965,11043,-5621,3759,0,1
975,14452,-7460,7460,0,1
985,17633,-9270,11043,0,1
995,20536,-11043,14452,0,1
1005,23115,-12773,17633,0,1
1015,25329,-14452,20536,0,1
1025,27144,-16074,23115,0,1
1035,28531,-17633,25329,0,1
1045,29468,-19122,27144,0,1
1055,29940,-20536,28531,0,1
1065,29940,-21869,29468,0,1
1075,29468,-23115,29940,0,1
1085,28531,-24270,29940,0,1
1095,27144,-25329,29468,0,1
1105,25329,-26289,28531,0,1
1115,23115,-27144,27144,0,1
1125,20536,-27893,25329,0,1
1135,17633,-28531,23115,0,1
1145,14452,-29057,20536,0,1
1155,11043,-29468,17633,0,1
1165,7460,-29763,14452,0,1
1175,3759,-29940,11043,0,1
1185,0,-30000,7460,0,1
1195,-3759,-29940,3759,0,1
1205,-7460,-29763,0,0,1
1215,-11043,-29468,-3759,0,1
1225,-14452,-29057,-7460,0,1
1235,-17633,-28531,-11043,0,1
